"person_id";"primary_name";"birth_year";"death_year";"primary_profession";"known_for_titles"
76;"Fran̤ois Truffaut";1932;1984;"writer,director,producer";"tt0070460,tt0053198,tt0075860,tt0055032"
80;"Orson Welles";1915;1985;"actor,director,writer";"tt0052311,tt0057427,tt0033467,tt0040525"
81;"Natalie Wood";1938;1981;"actress,soundtrack,music_department";"tt0048545,tt0057263,tt0055614,tt0055471"
84;"Gong Li";1965;0;"actress,producer,miscellaneous";"tt0397535,tt0101640,tt0430357,tt0473444"
90;"Armin Mueller-Stahl";1930;0;"actor,director,writer";"tt0765443,tt0963178,tt0117631,tt0139809"
92;"John Cleese";1939;0;"actor,writer,producer";"tt0095159,tt0085959,tt0071853,tt0063929"
93;"Brad Pitt";1963;0;"producer,actor,soundtrack";"tt2935510,tt0114746,tt0356910,tt1210166"
95;"Woody Allen";1935;0;"writer,director,actor";"tt0091167,tt0075686,tt0118954,tt0079522"
96;"Gillian Anderson";1968;0;"actress,producer,soundtrack";"tt0455590,tt0442632,tt2294189,tt0106179"
97;"Pamela Anderson";1967;0;"actress,producer,director";"tt0893509,tt0306047,tt0426592,tt0115624"
98;"Jennifer Aniston";1969;0;"actress,producer,soundtrack";"tt0108778,tt3442006,tt1564367,tt1723121"
99;"Patricia Arquette";1968;0;"actress,producer,director";"tt1065073,tt0108399,tt0145531,tt0412175"
100;"Rowan Atkinson";1955;0;"actor,writer,soundtrack";"tt0118689,tt1634122,tt0110357,tt0274166"
101;"Dan Aykroyd";1952;0;"writer,actor,producer";"tt0080455,tt0087332,tt0118747,tt0102558"
102;"Kevin Bacon";1958;0;"actor,producer,soundtrack";"tt0327056,tt0361127,tt0164052,tt0087277"
103;"Fairuza Balk";1974;0;"actress,soundtrack";"tt0115963,tt0181875,tt0089908,tt0120586"
104;"Antonio Banderas";1960;0;"actor,soundtrack,producer";"tt1189073,tt0112851,tt0120657,tt0120746"
106;"Drew Barrymore";1975;0;"producer,actress,soundtrack";"tt0120631,tt0343660,tt0160127,tt0151738"
107;"Kim Basinger";1953;0;"actress,soundtrack,producer";"tt0096895,tt0337921,tt0119488,tt0108525"
